pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,vel_x,vel_y,vel_z,omg_x,omg_y,omg_z,delta_pos_x,delta_pos_y,delta_pos_z,delta_ori_x,delta_ori_y,delta_ori_z,f_x_out,f_y_out,f_z_out,torque_x_out,torque_y_out,torque_z_out
1.5691174,-1.5908406,1.1412091,2.396437,-1.2137842,2.204388,0.20873414,1.247619,1.6072878,-2.2337816,0.045489818,2.3792799,0.27177238,-1.2175168,-1.6072878,1.9677385,0.5043122,2.3486202,1.3486844,1.2832699,-1.2203809,1.2844998,1.2842494,1.2842877
1.5654422,-1.5807186,1.175132,2.3804786,-1.2184428,2.1915412,0.08395745,1.1071057,1.8044853,-2.2349575,0.2171125,2.355504,0.45267597,-1.0748465,-1.8044853,1.9834256,0.71942365,2.3203006,1.3866806,1.3319165,-1.2603626,1.333367,1.3330907,1.3329473
1.5617607,-1.5713713,1.2136308,2.3644316,-1.2265912,2.178799,-0.07154735,0.9594011,1.870524,-2.234671,0.42655784,2.329426,0.59051293,-0.9224013,-1.870524,2.007752,0.89662755,2.2943623,1.422864,1.3790038,-1.3050638,1.3805919,1.3803351,1.3799789
1.5580742,-1.5628517,1.2536619,2.3482473,-1.2376145,2.1661522,-0.19048685,0.8038066,2.0116122,-2.2390745,0.59702617,2.305558,0.7441414,-0.76597553,-2.0116122,2.0317051,1.0885305,2.2674687,1.4602373,1.4275559,-1.3521475,1.4293272,1.4290668,1.4285082
1.5543826,-1.5551814,1.2969668,2.3319278,-1.2517513,2.1536045,-0.32630646,0.6444489,2.0665123,-2.242655,0.7880498,2.2804186,0.8673956,-0.60340434,-2.0665123,2.0614595,1.2528156,2.2422724,1.4988631,1.477502,-1.3998506,1.4794235,1.4791775,1.4784036
1.5506865,-1.5483937,1.3415457,2.3154402,-1.2685533,2.1411498,-0.43657076,0.47998628,2.146694,-2.2493885,0.9512952,2.2567809,0.98959833,-0.4397625,-2.146694,2.0918195,1.4147466,2.2172415,1.5358124,1.5258751,-1.4504305,1.5279375,1.527709,1.5267185
1.5469862,-1.5424945,1.3879851,2.2987812,-1.2879825,2.1287875,-0.549208,0.31531194,2.1887484,-2.2559707,1.11709,2.23295,1.0951464,-0.27460372,-2.1887484,2.1247075,1.5603368,2.1931968,1.5750349,1.5764854,-1.499579,1.5787076,1.5784863,1.5772855
1.5432823,-1.537492,1.4354004,2.2819364,-1.3097736,2.1165135,-0.64812887,0.14927343,2.2054956,-2.2639477,1.2672828,2.2098935,1.182759,-0.10695296,-2.2054956,2.1604643,1.686587,2.1702545,1.6117935,1.6248304,-1.549719,1.6271497,1.6269633,1.6255399
1.5395752,-1.5333998,1.4832041,2.2648897,-1.333613,2.1043243,-0.7346835,-0.017950358,2.2334847,-2.2731152,1.4018493,2.1875412,1.2678733,0.05751628,-2.2334847,2.19542,1.8083267,2.147553,1.6493465,1.6737133,-1.5988978,1.6761992,1.6760098,1.6743889
1.5358652,-1.5302006,1.5316575,2.2476459,-1.3594275,2.0922186,-0.8197711,-0.1811327,2.1862411,-2.2816389,1.5336723,2.165273,1.3187437,0.23246044,-2.1862411,2.2373977,1.8944722,2.126579,1.6850004,1.7203401,-1.6465292,1.7228719,1.7227373,1.7208941
1.5321534,-1.5279512,1.5790145,2.2301648,-1.3866395,2.0801904,-0.8782354,-0.35340846,2.1990733,-2.2936635,1.632341,2.144283,1.3813982,0.40092924,-2.1990733,2.2757144,1.9881426,2.1050334,1.7188525,1.7648488,-1.6946431,1.7675457,1.7674001,1.7653786
